Feature,Importance
selling_price,64.61066781200667
original_price,29.544663550202607
discount_percentage,1.7340125193986802
total_savings,0.6891389840757821
brand,0.40049642760223975
subcategory,0.3375076017020099
effective_discount,0.30053298213886015
delivery_score,0.26280700250164785
cashback,0.25718171255313915
product_name,0.22809069053128414
delivery_days,0.1763313506839185
product_rating,0.17432387149438544
day,0.16476712673434016
month,0.1575422675575616
seller_rating,0.137652804858564
category,0.12977141405825973
coupon_discount,0.12774863618253637
review_count,0.1183600411651561
day_of_week,0.09453396486164098
seller_trust_score,0.07843146598280545
festival_indicator,0.0713566164818592
seller_name,0.06877901200319743
emi_available,0.04496315777604486
platform,0.03870260060149332
exchange_available,0.01666532523262203
is_weekend,0.013894714720596894
emi_flag,0.0077068096014141435
stock_status,0.007500279236537644
exchange_flag,0.005869258054170368
