iter	Passed	Remaining
414	2849	1956
415	2856	1949
416	2862	1942
417	2869	1936
418	2875	1928
419	2881	1920
420	2888	1913
421	2893	1906
422	2900	1899
423	2910	1894
424	2919	1889
425	2931	1885
426	2940	1879
427	2948	1873
428	2955	1867
429	2964	1861
430	2973	1856
431	2982	1850
432	2989	1843
433	2995	1836
434	3002	1829
435	3008	1821
436	3018	1816
437	3024	1809
438	3032	1802
439	3038	1795
440	3045	1788
441	3051	1781
442	3057	1773
443	3065	1767
444	3071	1760
445	3078	1753
446	3085	1746
447	3091	1738
448	3099	1732
449	3115	1730
450	3124	1725
451	3132	1718
452	3139	1711
453	3148	1705
454	3155	1699
455	3167	1695
456	3178	1690
457	3187	1684
458	3198	1679
459	3206	1672
460	3215	1666
461	3222	1660
462	3230	1653
463	3237	1646
464	3245	1640
465	3251	1632
466	3261	1627
467	3268	1620
468	3276	1613
469	3325	1627
470	3331	1619
471	3346	1616
472	3352	1608
473	3360	1602
474	3368	1595
475	3377	1589
476	3382	1581
477	3390	1574
478	3396	1567
479	3406	1561
480	3412	1553
481	3420	1547
482	3428	1540
483	3434	1532
484	3441	1525
485	3446	1517
486	3453	1510
487	3459	1503
488	3465	1495
489	3471	1487
490	3477	1480
491	3483	1472
492	3489	1464
493	3494	1457
494	3501	1450
495	3507	1442
496	3513	1435
497	3520	1428
498	3527	1421
499	3535	1414
500	3541	1406
501	3547	1399
502	3553	1391
503	3559	1384
504	3566	1377
505	3572	1369
506	3578	1362
507	3584	1354
508	3590	1347
509	3597	1340
510	3602	1332
511	3608	1325
512	3615	1317
513	3621	1310
514	3627	1302
515	3633	1295
516	3640	1288
517	3647	1281
518	3653	1274
519	3659	1266
520	3665	1259
521	3674	1252
522	3681	1245
523	3687	1238
524	3695	1231
525	3701	1224
526	3708	1217
527	3715	1210
528	3722	1203
529	3730	1196
530	3737	1189
531	3746	1183
532	3753	1175
533	3762	1169
534	3775	1164
535	3786	1158
536	3795	1152
537	3802	1144
538	3809	1137
539	3827	1134
540	3839	1128
541	3846	1121
542	3852	1113
543	3859	1106
544	3865	1099
545	3871	1091
546	3877	1084
547	3882	1076
548	3889	1069
549	3895	1062
550	3900	1054
551	3908	1047
552	3913	1040
553	3919	1032
554	3925	1025
555	3930	1018
556	3937	1010
557	3942	1003
558	3948	995
559	3955	988
560	3960	981
561	3966	973
562	3973	966
563	3978	959
564	3985	952
565	3990	944
566	3996	937
567	4003	930
568	4009	923
569	4015	915
570	4022	908
571	4027	901
572	4035	894
573	4041	887
574	4047	879
575	4054	872
576	4060	865
577	4067	858
578	4073	851
579	4078	843
580	4085	836
581	4090	829
582	4096	822
583	4102	814
584	4108	807
585	4114	800
586	4120	793
587	4126	785
588	4132	778
589	4138	771
590	4144	764
591	4150	757
592	4155	749
593	4162	742
594	4167	735
595	4173	728
596	4179	721
597	4185	713
598	4191	706
599	4197	699
600	4203	692
601	4209	685
602	4215	678
603	4221	670
604	4228	663
605	4234	656
606	4239	649
607	4246	642
608	4251	635
609	4257	628
610	4263	621
611	4268	613
612	4275	606
613	4281	599
614	4286	592
615	4292	585
616	4298	578
617	4304	571
618	4311	564
619	4316	557
620	4323	549
621	4328	542
622	4334	535
623	4340	528
624	4345	521
625	4351	514
626	4357	507
627	4365	500
628	4375	493
629	4382	486
630	4390	480
631	4401	473
632	4409	466
633	4417	459
634	4429	453
635	4436	446
636	4442	439
637	4449	432
638	4456	425
639	4463	418
640	4471	411
641	4478	404
642	4485	397
643	4493	390
644	4499	383
645	4507	376
646	4512	369
647	4520	362
648	4525	355
649	4532	348
