Feature,Importance
selling_price,53.59919681136917
mrp,37.58637838122927
coupon_discount,2.1385574627343917
effective_discount,2.1087798416509496
cashback,0.9273923921201422
discount_percentage,0.6581162480281673
review_count,0.594169129826888
composition,0.3709721158627901
prescription_flag,0.2931604480806801
platform,0.27153812408153793
medicine_name,0.20814065243003013
manufacturer,0.187995237125027
pack_size,0.17275852477620238
delivery_time_hours,0.16193832285521856
month,0.16160008520189856
platform_rating,0.15621979345948533
total_savings,0.14778742276555376
festival_indicator,0.1037885059149203
day_of_week,0.062327875599560344
day,0.05439970372896937
stock_status,0.027581932206763627
prescription_required,0.0033532264345180487
availability,0.0016606967720382206
stock_score,0.0013617959129586812
is_weekend,0.0008252698329265345
availability_score,0.0
