Feature,Importance
food_price,59.59455006939775
tax_amount,31.67497326536101
coupon_discount,1.9911374908180233
effective_discount,1.4601015515422187
available_coupon,1.3377098363488344
delivery_fee,0.8886710896056427
total_service_fee,0.6943827119558154
restaurant_id,0.3659471239117355
cashback,0.33866384056493676
packaging_fee,0.30106290988485257
review_count,0.18963995516523066
category,0.15576605186499545
time_slot,0.14503982673782098
demand_level,0.14281313427507142
restaurant_name,0.10501395684350988
restaurant_rating,0.10434172577492962
month,0.10301008611671554
demand_score,0.09877315567821937
food_item,0.08002911786026282
delivery_time_min,0.048538462271383906
day,0.04521674602969325
platform,0.04211288385814083
day_of_week,0.03804285590252764
peak_meal_time,0.025358336886287282
festival_indicator,0.01470592107866113
free_delivery,0.011818417348214224
is_weekend,0.002579476917531463
