iter	RMSE
0	28217.57632
1	27440.90049
2	26671.07046
3	25944.12514
4	25251.14038
5	24565.16996
6	23886.52008
7	23232.82412
8	22602.11887
9	21999.77598
10	21421.5896
11	20863.90114
12	20307.55334
13	19769.55007
14	19252.42395
15	18754.94765
16	18240.08372
17	17734.50575
18	17250.11284
19	16781.62945
20	16339.35221
21	15906.22897
22	15488.29253
23	15086.41964
24	14678.57217
25	14278.54183
26	13885.19918
27	13514.10795
28	13164.98166
29	12804.45549
30	12476.93305
31	12143.5196
32	11836.33682
33	11529.72738
34	11217.42521
35	10928.88986
36	10643.3878
37	10367.61697
38	10088.52078
39	9826.54778
40	9568.320233
41	9315.790756
42	9069.74394
43	8825.155987
44	8601.546483
45	8373.461931
46	8145.980489
47	7940.407668
48	7735.89901
49	7530.815572
50	7328.573392
51	7152.233332
52	6971.554043
53	6787.208031
54	6622.31598
55	6455.843158
56	6309.23052
57	6147.426705
58	5991.652367
59	5832.208806
60	5693.270036
61	5545.345188
62	5408.727796
63	5270.73918
64	5138.703111
65	5006.615872
66	4878.792233
67	4759.240022
68	4644.021425
69	4527.633717
70	4421.425456
71	4311.757802
72	4205.305881
73	4107.723425
74	4006.407081
75	3915.152333
76	3824.510781
77	3735.334221
78	3647.531554
79	3563.154144
80	3479.266531
81	3402.188617
82	3325.798586
83	3255.199744
84	3182.774896
85	3108.335629
86	3037.769408
87	2969.12399
88	2905.662549
89	2839.172792
90	2776.555549
91	2714.567514
92	2656.180946
93	2599.916416
94	2548.426483
95	2496.176713
96	2445.911516
97	2393.742961
98	2343.526311
99	2292.160179
100	2243.032662
101	2199.238871
102	2156.67781
103	2110.979418
104	2069.025405
105	2026.65689
106	1986.970649
107	1946.92645
108	1912.779806
109	1880.884653
110	1846.053099
111	1814.897995
112	1782.011603
113	1749.126482
114	1718.236882
115	1688.417874
116	1659.388047
117	1633.14078
118	1605.447666
119	1577.823851
120	1553.1666
121	1530.644632
122	1507.878069
123	1484.464568
124	1462.065426
125	1440.418722
126	1420.411066
127	1399.045252
128	1379.058374
129	1360.494884
130	1343.03954
131	1326.658466
132	1309.722258
133	1293.480027
134	1276.380135
135	1260.493078
136	1246.212631
137	1231.970791
138	1217.109256
139	1204.216648
140	1190.579201
141	1177.703283
142	1166.562004
143	1154.943562
144	1142.564047
145	1130.757292
146	1121.347632
147	1112.353393
148	1101.919507
149	1092.091746
150	1082.160849
151	1073.658804
152	1065.081722
153	1056.781412
154	1047.469982
155	1038.548972
156	1030.187136
157	1022.638712
158	1015.401904
159	1008.619702
160	1000.647827
161	993.3056852
162	986.1461991
163	980.3319873
164	973.6645009
165	967.1765357
166	960.572621
167	955.0412218
168	948.5658438
169	942.447083
170	937.1746694
171	931.4585837
172	925.7863249
173	921.1612729
174	917.0305552
175	911.8392183
176	907.2712677
177	902.2920565
178	897.230051
179	892.6870316
180	888.4108996
181	884.3011597
182	880.3618855
183	875.8885629
184	871.6815451
185	867.8708643
186	863.595804
187	859.6655041
188	855.7154088
189	851.8692314
190	848.8142787
191	844.9423776
192	841.9388019
193	837.8542921
194	834.0376709
195	830.4355735
196	826.8533356
197	822.825918
198	819.3102078
199	815.7146417
200	812.395751
201	809.0024104
202	805.8215918
203	802.8006579
204	799.4084369
205	796.3139407
206	793.3101713
207	790.4829916
208	787.9539375
209	785.3323685
210	782.393529
211	779.5352272
212	776.8834043
213	773.4272949
214	770.5233287
215	767.6098399
216	764.6113568
217	762.0200494
218	759.2962717
219	757.0428671
220	754.5285703
221	752.258071
222	750.3805738
223	747.9644158
224	745.9155218
225	743.5553827
226	741.1546376
227	739.3197924
228	737.2610842
229	735.312796
230	732.7569588
231	730.3820335
232	728.5851495
233	726.4022667
234	724.7083536
235	722.5091948
236	720.3138816
237	718.4055897
238	716.6932584
239	714.4294421
240	712.2161523
241	709.916905
242	708.086909
243	705.729899
244	703.7685393
245	701.9052643
246	700.3371599
247	698.2372603
248	696.3839664
249	694.5082586
250	692.1989829
251	690.5225131
252	688.9836428
253	686.9846751
254	685.7792291
255	683.9061451
256	682.4338217
257	680.9868249
258	679.4924163
259	677.2638962
260	675.7099532
261	673.7525409
262	672.1094355
263	670.5289173
264	668.8189487
265	667.0300248
266	665.0348064
267	663.4381523
268	661.5145384
269	660.1509089
270	658.5348075
271	657.2396882
272	655.7776538
273	654.3789522
274	652.9044827
275	651.403103
276	650.0630865
277	648.5733251
278	647.1705507
279	645.6857888
280	644.6586612
281	642.7222191
282	641.6736599
283	639.6637382
284	638.3396666
285	636.5732881
286	635.356112
287	634.0751566
288	632.8913185
289	631.7780473
290	630.8406798
291	629.6674713
292	628.3649888
293	626.9420513
294	625.7963035
295	624.565618
296	623.50933
297	621.836753
298	620.361775
299	619.1071286
300	618.0244667
301	616.6747363
302	615.4837113
303	614.3949931
304	613.2685222
305	612.1438917
306	611.0778588
307	609.8877227
308	608.815874
309	607.7065563
310	606.1595385
311	604.6813936
312	603.8119248
313	602.7351411
314	601.4640667
315	600.3633425
316	599.1593594
317	598.1793384
318	596.8893795
319	596.0153086
320	594.7033215
321	593.426134
322	592.5274883
323	591.4376809
324	590.7167794
325	589.6628865
326	588.8607623
327	587.8869275
328	586.6139521
329	585.3414899
330	584.0315743
331	582.9439061
332	582.0122312
333	580.8985793
334	579.6859642
335	578.721925
336	577.7984624
337	576.6355369
338	575.4289397
339	574.3902248
340	573.4728501
341	572.7221622
342	571.7514643
343	570.7001842
344	569.7737683
345	568.4735967
346	567.6218927
347	566.6721565
348	565.7582465
349	564.9133882
350	563.8615432
351	562.7604711
352	561.7480034
353	560.8684052
354	559.5988555
355	558.8784972
356	557.668791
357	556.7935632
358	555.9965896
359	555.0070817
360	554.1333413
361	553.2221784
362	551.9821997
363	550.7864784
364	549.8810206
365	549.1638766
